sample_no,temperature,average temperature,humidity,average humidity,breath state
385,27.68,27.781399999999998,64.66718751504193,65.55260712510079,1
386,27.7,27.773199999999996,65.12079382413513,65.4144996733577,1
387,27.72,27.765199999999997,65.55176872253242,65.27963067045063,1
388,27.74,27.75729999999999,65.98824025713375,65.14776310630036,1
389,27.76,27.74949999999999,66.43005251205302,65.01895640460884,0
390,27.78,27.74189999999999,66.85532771911673,64.89326814165614,0
391,27.81,27.734399999999997,67.26943938829208,64.77092352702182,0
392,27.83,27.727099999999997,67.68935187283249,64.65186749898277,0
393,27.85,27.719999999999995,68.08571949588816,64.5367849483694,0
394,27.86,27.7131,68.45978840559519,64.42566607398659,0
395,27.89,27.706400000000002,68.8682046112117,64.31880628881609,0
396,27.9,27.700100000000003,69.25338957579658,64.21642988396961,0
397,27.92,27.694000000000003,69.62757428570812,64.11864717559573,0
398,27.96,27.688300000000005,69.99160727845333,64.02569741237839,0
399,27.97,27.683200000000006,70.34834912884914,63.93821233248838,0
400,28.0,27.678500000000003,70.68913845512557,63.856344587441114,0
401,28.02,27.674500000000002,71.03506536106232,63.78056997928167,0
402,28.04,27.671,71.3753525105335,63.71149935721084,0
403,28.06,27.6682,71.67591078601737,63.64953579259693,0
404,28.08,27.665899999999997,72.00488112503645,63.59455150856319,0
405,28.1,27.664199999999997,72.31143881646777,63.54717504770734,0
406,28.12,27.663099999999996,72.62911175816915,63.50724460275831,0
407,28.14,27.662599999999994,72.90670633329015,63.47526199872644,0
408,28.16,27.66269999999999,73.18521546240518,63.450939142382346,0
409,28.18,27.66329999999999,73.48029928660355,63.43444865388129,0
410,28.2,27.664599999999986,73.74679196993408,63.42608239966903,0
411,28.22,27.66649999999999,74.01402274478457,63.42559927813974,0
412,28.23,27.668999999999986,74.28011893090486,63.43300681948104,0
413,28.25,27.671899999999987,74.53568249945187,63.44834647929043,0
414,28.27,27.67539999999999,74.77995854747225,63.47163478911797,0
415,28.28,27.67939999999999,75.02328059101762,63.50269535483962,0
416,28.3,27.68379999999999,75.26736159003029,63.541345730918174,0
417,28.31,27.688699999999994,75.47155243558994,63.58776661312708,0
418,28.32,27.693899999999996,75.70414714955089,63.641324908744764,0
419,28.34,27.699499999999997,75.91436366837965,63.70236475303822,0
420,28.36,27.705599999999993,76.11310981291508,63.77043990068548,0
421,28.38,27.712,76.32917713182714,63.84565368807059,0
422,28.38,27.718899999999998,76.51561095261754,63.928129484478134,0
423,28.39,27.726,76.70810298442161,64.01728092545956,0
424,28.4,27.733399999999996,76.87861572297615,64.11339649218236,0
425,28.41,27.741100000000003,77.05396735704329,64.21608870612448,0
426,28.42,27.748900000000003,77.21844105229646,64.32517298783422,0
427,28.43,27.757,77.39397614842221,64.44043361297939,0
428,28.44,27.765300000000003,77.55280440798286,64.56208899119773,0
429,28.45,27.773900000000005,77.7061828506799,64.68997933511987,0
430,28.45,27.7826,77.85894849437177,64.82392926487839,0
431,28.46,27.7914,78.00042623086178,64.96376218178662,0
432,28.46,27.8004,78.11933304223884,65.10920118471886,0
433,28.46,27.8094,78.19267881583379,65.26018421465533,0
434,28.47,27.818500000000004,78.24971801049554,65.41609029795858,0
435,28.46,27.827800000000003,78.27166477017181,65.5768710365945,0
436,28.46,27.837000000000007,78.26016884453541,65.7418352694354,0
437,28.45,27.846300000000006,78.20311455161824,65.91076088083436,0
438,28.44,27.855500000000006,78.11159200506721,66.08324918981936,0
439,28.42,27.864600000000006,77.98015903397113,66.2586707367373,0
440,28.39,27.87360000000001,77.7860438770539,66.43662910569823,0
441,28.36,27.882400000000008,77.53552356019395,66.61655554026083,0
442,28.33,27.890900000000006,77.22296977878047,66.7975444536404,0
443,28.3,27.899100000000004,76.84773056312271,66.97903353151405,0
444,28.27,27.907000000000007,76.44451349149696,67.16044972774579,0
445,28.23,27.914700000000003,75.97337721532536,67.34134679304469,0
446,28.19,27.9221,75.51315422607595,67.52099126943594,0
447,28.15,27.929099999999995,75.03057043422382,67.69937526869349,0
448,28.12,27.935699999999994,74.49211978521079,67.87627744379705,0
449,28.09,27.94199999999999,73.98132388941326,68.05096752916334,0
450,28.04,27.948099999999997,73.45322828890089,68.22361177302452,0
451,28.02,27.95359999999999,72.89800757777098,68.39408959240087,0
452,27.97,27.958999999999996,72.36444540091419,68.56196442802091,0
453,27.93,27.963899999999995,71.8026627708925,68.72745133338175,1
454,27.91,27.968399999999995,71.25886950508465,68.89026746431404,1
455,27.88,27.972799999999992,70.70376710648466,69.05031210956133,1
456,27.84,27.9769,70.14196610366832,69.20684711080649,1
457,27.83,27.980600000000003,69.60989596834169,69.35912452483973,1
458,27.81,27.984200000000005,69.07762089197068,69.50613709417455,1
459,27.78,27.987700000000004,68.51674248896846,69.64748929169657,1
460,27.75,27.990900000000007,67.99508474858159,69.7826674706854,1
461,27.75,27.993800000000007,67.47492247211748,69.91200311970216,1
462,27.72,27.996700000000004,66.95930331224925,70.0354002797019,1
463,27.7,27.9993,66.43220507318419,70.15256516626722,1
464,27.69,28.001700000000007,65.93985513519128,70.2628154112235,1
465,27.67,28.0039,65.43559213804814,70.36621173880755,1
466,27.66,28.006000000000004,64.93764730761941,70.4620178227757,1
467,27.65,28.008000000000006,64.44501719758897,70.54978535131721,1
468,27.64,28.009700000000006,63.9808976791036,70.62922140509647,1
469,27.63,28.01140000000001,63.4938326557582,70.70044780277924,1
470,27.62,28.01290000000001,63.04646057548362,70.76278040703589,1
